llama.py,10,5.847953216374268,1.0000000284777748
llama.py,30,5.847953216374268,1.0000000284777748
llama.py,50,10.526315789473683,1.0000000284777748
mistral_math.py,10,6.9364161849710975,1.0000000284777748
mistral_math.py,30,7.514450867052023,1.0000000284777748
mistral_math.py,50,12.716763005780345,1.0000000284777748
Mistral-7B-Instruct-v0.2.py,10,22.137404580152673,1.0000000284777748
Mistral-7B-Instruct-v0.2.py,30,28.24427480916031,1.0000000284777748
Mistral-7B-Instruct-v0.2.py,50,30.53435114503817,1.0000000284777748
Llama-3.1-8B-Instruct.py,10,2.793296089385475,1.0000000284777748
Llama-3.1-8B-Instruct.py,30,7.262569832402235,1.0000000284777748
Llama-3.1-8B-Instruct.py,50,8.938547486033519,1.0000000284777748
gemma-2-2b-it.py,10,10.559006211180124,1.0000000284777748
gemma-2-2b-it.py,30,19.875776397515526,1.0000000284777748
gemma-2-2b-it.py,50,24.22360248447205,1.0000000284777748
zephyr-7b-beta.py,10,65.67164179104478,1.0000000284777748
zephyr-7b-beta.py,30,68.65671641791045,1.0000000284777748
zephyr-7b-beta.py,50,68.65671641791045,1.0000000284777748
Qwen2.5-1.5B-Instruct.py,10,5.714285714285714,1.0000000284777748
Qwen2.5-1.5B-Instruct.py,30,10.857142857142858,1.0000000284777748
Qwen2.5-1.5B-Instruct.py,50,12.571428571428573,1.0000000284777748
DeepSeek-R1-Distill-Llama-8B.py,10,8.284023668639055,1.0
DeepSeek-R1-Distill-Llama-8B.py,30,5.9171597633136095,1.0
DeepSeek-R1-Distill-Llama-8B.py,50,10.650887573964498,1.0
